Source_Directory,seed_id,email,title,sentiment_score,content,link
seed 5,1,1_agriyakhetarpal@example.com,Engages in collaborative problem-solving,6.0,"I agree with @Dr-Irv. The terminal is very cool, but at the same time tricky. It didn't work very well when we already tried in the past. And even in a best case scenario, it can be a problem for example to mobile users with a limited data plan. Users should be able to access our getting started page without exposure to the terminal in my opinion. And personally, I'd also prefer if the terminal is hosted elsewhere and we just link to it. No strong objection to having it in this repo amd our hosting, but I think it's better if it has it's own space (I think another repo in our organization and github pages for example). It allows to iterate quickly on it, and puts less pressure on having to deliver a fast and reliable experience to the users, if it's perceived as a external resource. Just my opinion.",https://github.com/pandas-dev/pandas/pull/60758#issuecomment-2673189379
seed 5,1,1_agriyakhetarpal@example.com,Engages in collaborative problem-solving,7.0,"I'm +1 on giving this another go.

> maintain the shell if it's added and establish some relevant automations towards its upkeep.

What is the expected maintenance / upkeep?

> I'd like to propose reinstating this shell for the website (either on the same page, or elsewhere

Getting Started seems to be a natural place to me.",https://github.com/pandas-dev/pandas/issues/60747#issuecomment-2606090958
seed 5,1,1_agriyakhetarpal@example.com,Proactively addresses feedback,8.0,@agriyakhetarpal thanks for separating the page.  ,https://github.com/pandas-dev/pandas/pull/60758#issuecomment-2674850385
seed 5,1,1_agriyakhetarpal@example.com,Proactively addresses feedback,7.0,"> I could, but it needs this PR to make it to a release: https://github.com/pypa/cibuildwheel/pull/2117

OK no problem. Thanks @agriyakhetarpal ",https://github.com/pandas-dev/pandas/pull/60756#issuecomment-2607909012
seed 5,1,1_agriyakhetarpal@example.com,Proactively addresses feedback,,"> On the other hand, cibuildwheel in wheels.yml builds against Pyodide 0.26 at the moment.

Could you bump pyodide in for the wheel builds then to match the version in our unit tests?",https://github.com/pandas-dev/pandas/pull/60756#issuecomment-2607892541
report,1,1_agriyakhetarpal@example.com,Engages in collaborative problem-solving,6.0,"I agree with @Dr-Irv. The terminal is very cool, but at the same time tricky. It didn't work very well when we already tried in the past. And even in a best case scenario, it can be a problem for example to mobile users with a limited data plan. Users should be able to access our getting started page without exposure to the terminal in my opinion. And personally, I'd also prefer if the terminal is hosted elsewhere and we just link to it. No strong objection to having it in this repo amd our hosting, but I think it's better if it has it's own space (I think another repo in our organization and github pages for example). It allows to iterate quickly on it, and puts less pressure on having to deliver a fast and reliable experience to the users, if it's perceived as a external resource. Just my opinion.",https://github.com/pandas-dev/pandas/pull/60758#issuecomment-2673189379
report,1,1_agriyakhetarpal@example.com,Engages in collaborative problem-solving,7.0,"I'm +1 on giving this another go.

> maintain the shell if it's added and establish some relevant automations towards its upkeep.

What is the expected maintenance / upkeep?

> I'd like to propose reinstating this shell for the website (either on the same page, or elsewhere

Getting Started seems to be a natural place to me.",https://github.com/pandas-dev/pandas/issues/60747#issuecomment-2606090958
report,1,1_agriyakhetarpal@example.com,Proactively addresses feedback,8.0,@agriyakhetarpal thanks for separating the page.  ,https://github.com/pandas-dev/pandas/pull/60758#issuecomment-2674850385
report,1,1_agriyakhetarpal@example.com,Proactively addresses feedback,7.0,"> I could, but it needs this PR to make it to a release: https://github.com/pypa/cibuildwheel/pull/2117

OK no problem. Thanks @agriyakhetarpal ",https://github.com/pandas-dev/pandas/pull/60756#issuecomment-2607909012
report,1,1_agriyakhetarpal@example.com,Proactively addresses feedback,,"> On the other hand, cibuildwheel in wheels.yml builds against Pyodide 0.26 at the moment.

Could you bump pyodide in for the wheel builds then to match the version in our unit tests?",https://github.com/pandas-dev/pandas/pull/60756#issuecomment-2607892541
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/issues/115691#issuecomment-2770610392
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/close 
in favor of https://github.com/kubernetes/kubernetes/pull/126497

Thanks",https://github.com/kubernetes/kubernetes/pull/123332#issuecomment-2261448127
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,@alexzielenski  please rebase!,https://github.com/kubernetes/kubernetes/pull/123332#issuecomment-2188950927
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"lgtm

/approve",https://github.com/kubernetes/kubernetes/pull/125101#issuecomment-2145951426
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/approve,https://github.com/kubernetes/kubernetes/pull/124898#issuecomment-2137485555
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/issues/125053#issuecomment-2127799736
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/125101#issuecomment-2127790196
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Thanks for the PR!
Maybe update the storagehash inside pkg/controlplane/storageversionhashdata/data.go as well? :)",https://github.com/kubernetes/kubernetes/pull/125101#issuecomment-2127758949
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"> Lgtm.
> 
> Verify is still red.
> 
> Needs an API approver for finally tagging.

@sttts did you confirm the bazillion listed versions were accurate?  The mechanics here look correct and if the versions are correct I'm ready to approve once there's a proof PR showing the verify works.",https://github.com/kubernetes/kubernetes/pull/124898#issuecomment-2125720783
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/cc
I agree that it would be great to transfer object to CEL value in VAP as what has been done for CRD validation rule. Since VAP is in GA and it would be a breaking change so a feature gate might be needed. Thanks for bringing it up!",https://github.com/kubernetes/kubernetes/issues/125053#issuecomment-2125276021
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/124622#issuecomment-2087073702
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/issues/116311#issuecomment-2021373865
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/123332#issuecomment-2021313223
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,re-based due to introduction of workspace.,https://github.com/kubernetes/kubernetes/pull/123332#issuecomment-1977228129
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"@ritazh Change looks well-tested, I'm not sure about the scope and the priority, but it should be fine in general. Just make sure to cherry-pick it to 1.29 as well.",https://github.com/kubernetes/kubernetes/pull/123003#issuecomment-1956586798
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
/approve",https://github.com/kubernetes/kubernetes/pull/123330#issuecomment-1948990234
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Validation and controllers deps cel compiler which moved.  The usage didn't change, so we're equivalent

/approve",https://github.com/kubernetes/kubernetes/pull/122919#issuecomment-1944573946
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/123080#issuecomment-1934578365
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,@kubernetes/release-managers Would you please approve it when have time? Thank you :),https://github.com/kubernetes/kubernetes/pull/123080#issuecomment-1931468740
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
",https://github.com/kubernetes/kubernetes/pull/123080#issuecomment-1931466910
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
/approve",https://github.com/kubernetes/kubernetes/pull/122919#issuecomment-1931454901
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/121461#issuecomment-1787986489
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,This work-in-progress PR needs a rebase. please rebase if this PR is still needed for the upcoming release.,https://github.com/kubernetes/kubernetes/pull/119408#issuecomment-1778066621
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,This work-in-progress PR needs a rebase. please rebase if this PR is still needed for the upcoming release.,https://github.com/kubernetes/kubernetes/pull/120468#issuecomment-1778066140
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,k ku kuoo,https://github.com/kubernetes/kubernetes/pull/120468#issuecomment-1709021532
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,k ku,https://github.com/kubernetes/kubernetes/pull/120468#issuecomment-1708881434
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"I might have missed that but,
1. How do you know which values you need to default?
2. How do you make sure you're not changing the existing behavior?",https://github.com/kubernetes/kubernetes/pull/120468#issuecomment-1708803297
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,@sftim Thank you for the suggestion! I have updated the PR description for the KEP link and updated the release note section as well. Note that we promote the feature gate in another PR(https://github.com/kubernetes/kubernetes/pull/119409) hence I will only add the last API promotion info into the changelog of this PR.,https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1650207023
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/release-note Promoted the feature gate `ValidtaingAdmissionPolicy` to beta and it is turned off by default.,https://github.com/kubernetes/kubernetes/pull/119409#issuecomment-1650203396
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/hold cancel,https://github.com/kubernetes/kubernetes/pull/119409#issuecomment-1648557877
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/skip pull-kubernetes-e2e-gce-cos-alpha-features,https://github.com/kubernetes/kubernetes/pull/119409#issuecomment-1648526868
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Note: `pull-kubernetes-e2e-gce-cos-alpha-features` is accidentally turned on in this PR which is not used/touched by the current PR(We are using `pull-kubernetes-e2e-kind-alpha-features` for the ValidatingAdmissionPolicy related e2e tests.) The failure of `pull-kubernetes-e2e-gce-cos-alpha-features` should neither be an concern nor blocking this PR from merging.
/skip pull-kubernetes-e2e-gce-cos-alpha-features",https://github.com/kubernetes/kubernetes/pull/119409#issuecomment-1648526251
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
",https://github.com/kubernetes/kubernetes/pull/119409#issuecomment-1648359288
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/milestone v1.28
Since we got exception on the KEP 3488, and this will be the last PR required for 1.28. Thank you!",https://github.com/kubernetes/kubernetes/pull/119409#issuecomment-1648291775
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"needs some squashing. I'll leave the test coverage checking to @jpbetz 

/approve
/assign @jpbetz ",https://github.com/kubernetes/kubernetes/pull/119409#issuecomment-1648034590
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/retest,https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1646273800
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
Thank you!",https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1646241217
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Thank you! @alexzielenski Please update following when you got time. 
- Revert the feature gate change in this PR
- Fix the accidentally touch for version in match_test

Thank you! ^^",https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1646186035
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"API and impl changes look good. The tests need fixing before merge and the tests need to be added for the beta.

/approve

/assign @jpbetz @cici37 
for lgtm",https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1646184175
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/retest,https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1646038262
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/api-review
This should be ready for API review since https://github.com/kubernetes/kubernetes/pull/119215 has been approved. 
Currently rebased on #119215 , the changes will be more clear after #119215 merged.",https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1644295215
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Worth to edit the PR description to state all beta graduation criteria be addressed? 
https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/3488-cel-admission-control/README.md#beta",https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1644285685
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"@alexzielenski Could you also update the feature gate in this PR? Under kube_features.go, make the release phrase as `Beta` but keep default as `false`. e.g. `ValidatingAdmissionPolicy: {Default: false, PreRelease: featuregate.Beta},` Thank you",https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1642851567
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/milestone v1.28,https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1642848645
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/approve,https://github.com/kubernetes/kubernetes/pull/118803#issuecomment-1634829885
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/118803#issuecomment-1634829160
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/118803#issuecomment-1634563411
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,Thank you for the PR! I haven't looked at the details but I would suggest to make `Adds NamespaceParamRef field` a separate PR from promoting the API to beta because we have other API changes pending(e.g. https://github.com/kubernetes/kubernetes/pull/118642). It might be good to promote the API to beta after all API changes merged. :),https://github.com/kubernetes/kubernetes/pull/118644#issuecomment-1629538524
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/assign,https://github.com/kubernetes/kubernetes/pull/118803#issuecomment-1622532897
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Yeah, that one is really a corner-case though, are they all related somewhat to this problem?
I'll try to look at this one specifically.",https://github.com/kubernetes/kubernetes/issues/118771#issuecomment-1599553854
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,Can you give a concrete example of why these fail?,https://github.com/kubernetes/kubernetes/issues/118771#issuecomment-1599459753
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,Do we want to revive this? I don't think it'd hurt,https://github.com/kubernetes/kubernetes/pull/114347#issuecomment-1529926127
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/remove-lifcycle rotten,https://github.com/kubernetes/kubernetes/pull/114347#issuecomment-1529925962
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"> is this still an issue? 

Yes

> should it be resolved before enabling by default?

That's the cache for the downloaded discovery for each apiservice. The list probably doesn't grow very large. Fix is in #116828. Considering the pain of non-aggregated discovery on some users, and the time they have had to wait to get the feature, I'd say the trade-off is that this isn't nearly as bad.
",https://github.com/kubernetes/kubernetes/issues/115301#issuecomment-1478840185
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/116770#issuecomment-1478594564
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
/approve
",https://github.com/kubernetes/kubernetes/pull/116770#issuecomment-1478581323
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/116770#issuecomment-1478518539
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"This Issue/PR has been marked as release blocker. Please have the PR merged by eod today otherwise the feature has to be reverted. For the Issue/PR owner: please have a revert/feature disable PR open today in case the fix failed to get in. Thank you! See the [announcement here](https://groups.google.com/a/kubernetes.io/g/dev/c/yzSvdfk8mo8)

-- Kubernetes 1.27 release manager",https://github.com/kubernetes/kubernetes/pull/116770#issuecomment-1478499362
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/116390#issuecomment-1468850818
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/approve,https://github.com/kubernetes/kubernetes/pull/116390#issuecomment-1468786639
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Thanks
/approve",https://github.com/kubernetes/kubernetes/pull/116390#issuecomment-1468765992
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/cc kubernetes/release-managers,https://github.com/kubernetes/kubernetes/pull/115805#issuecomment-1463873976
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"> @alexzielenski is this up-to-date with all test fixes merged to master? is #115971 needed as well or in combination? would it make sense to consolidate all the test fixes into a single backport PR?

and https://github.com/kubernetes/kubernetes/pull/116437",https://github.com/kubernetes/kubernetes/pull/115805#issuecomment-1463872078
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/issues/116311#issuecomment-1462504382
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"LGTM for the last of the 4 commits, thanks.",https://github.com/kubernetes/kubernetes/pull/116390#issuecomment-1460844621
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"I'm not sure I completely understands this.

If I use a normal apiserver, it'll fail to apply the scale object? The test used to pass because it didn't have the OpenAPI? But now that the openapi is given everywhere it starts failing? Is that right?",https://github.com/kubernetes/kubernetes/issues/116311#issuecomment-1457018249
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/approve,https://github.com/kubernetes/kubernetes/pull/116106#issuecomment-1450856771
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/116106#issuecomment-1448923226
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/115805#issuecomment-1439099498
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/issues/115691#issuecomment-1430392191
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
/approve",https://github.com/kubernetes/kubernetes/pull/114439#issuecomment-1412605413
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
/approve
/assign @kubernetes/release-managers ",https://github.com/kubernetes/kubernetes/pull/115185#issuecomment-1412524568
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Sorry, 
/approvalement
/approve",https://github.com/kubernetes/kubernetes/pull/114439#issuecomment-1405876110
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"That's exciting!
/lgtm
/approval",https://github.com/kubernetes/kubernetes/pull/114439#issuecomment-1405874930
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,Looks good to me once you get the tests passing,https://github.com/kubernetes/kubernetes/pull/114439#issuecomment-1405608671
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/issues/115301#issuecomment-1405377933
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/115302#issuecomment-1405362554
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
/approve
/retest",https://github.com/kubernetes/kubernetes/pull/115302#issuecomment-1404030666
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/115302#issuecomment-1402908880
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"I think that's good, thanks!",https://github.com/kubernetes/kubernetes/pull/115302#issuecomment-1402882567
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/triage accepted
/assign",https://github.com/kubernetes/kubernetes/pull/115185#issuecomment-1397370751
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/triage accepted,https://github.com/kubernetes/kubernetes/pull/115147#issuecomment-1397367154
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/assign
/triage accepted",https://github.com/kubernetes/kubernetes/pull/115145#issuecomment-1397366783
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,This might be worth to cherry pick to previous release. WDT,https://github.com/kubernetes/kubernetes/pull/115147#issuecomment-1387498764
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/115147#issuecomment-1387498083
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Thanks for fixing this!
/lgtm",https://github.com/kubernetes/kubernetes/pull/115147#issuecomment-1386263888
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,@alexzielenski @liggitt Does this affect only release-1.26 or should we cherry-pick this to other release branches as well?,https://github.com/kubernetes/kubernetes/pull/114462#issuecomment-1350700064
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/114462#issuecomment-1349891102
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/114459#issuecomment-1349889694
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,This was created 4 days ago ;-),https://github.com/kubernetes/kubernetes/pull/114324#issuecomment-1346943280
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"This PR has the label work-in-progress, please revisit to see if you still need this, please close if not",https://github.com/kubernetes/kubernetes/pull/114324#issuecomment-1346755548
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/113146#issuecomment-1302879413
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"I've played with it and it works great! Tested against CRDs too, that really opens-up a lot of possible exciting improvements!",https://github.com/kubernetes/kubernetes/pull/113146#issuecomment-1302854562
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/lgtm,https://github.com/kubernetes/kubernetes/pull/113146#issuecomment-1302854365
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Thanks Alex, leaving a little bit more time for people to chime in. Will merge by EOD otherwise.",https://github.com/kubernetes/kubernetes/pull/113146#issuecomment-1302327689
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/approve

Let's squash some of these commits, and also giving a chance for other people to take a look.",https://github.com/kubernetes/kubernetes/pull/113146#issuecomment-1301600543
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"A test would be nice for the benchmark, but looks good otherwise.",https://github.com/kubernetes/kubernetes/pull/113146#issuecomment-1289926228
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,I think you can rebase this branch now that its dependency has merged.,https://github.com/kubernetes/kubernetes/pull/113146#issuecomment-1289921219
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/hold cancel

You have another PR for this, we can fix it then.",https://github.com/kubernetes/kubernetes/pull/113024#issuecomment-1283337584
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/lgtm
/approve
/hold if you want to fix the nit? I'll happily re-lgtm.",https://github.com/kubernetes/kubernetes/pull/113024#issuecomment-1283181611
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"Thanks!
/lgtm
/hold cancel",https://github.com/kubernetes/kubernetes/pull/113062#issuecomment-1281461753
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"That's very close, thanks",https://github.com/kubernetes/kubernetes/pull/113024#issuecomment-1278429457
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/assign @liggitt ,https://github.com/kubernetes/kubernetes/pull/113062#issuecomment-1278399133
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,"/triage accepted
/priority important-soon",https://github.com/kubernetes/kubernetes/pull/113062#issuecomment-1278398943
first that was too large seed 3,1,1_alexzielenski@example.com,Proactively addresses issues,,/retest,https://github.com/kubernetes/kubernetes/pull/113062#issuecomment-1278398236
